,0,dt,2,Alt,Latitude,Longitude,Speed,Course,Satellites,N Sat,g1,g2,g3
23,10,2024-07-02 15:30:34.349,2,19303440,30.256882,-84.193317,9.13,318.20,AAAN,9,1.34,537,-29.6
24,10,2024-07-02 15:30:34.550,2,19303460,30.256886,-84.193321,8.85,318.61,AAAN,9,1.34,537,-29.6
25,10,2024-07-02 15:30:34.749,2,19303480,30.25689,-84.193325,8.86,319.22,AAAN,9,1.34,537,-29.6
26,10,2024-07-02 15:30:34.959,2,19303500,30.256894,-84.193328,8.82,318.03,AAAN,9,1.34,537,-29.6
27,10,2024-07-02 15:30:35.149,2,19303520,30.256897,-84.193332,8.78,317.28,AAAN,9,1.17,537,-29.6
28,10,2024-07-02 15:30:35.350,2,19303540,30.256901,-84.193336,8.71,316.22,AAAN,9,1.17,536,-29.6
29,10,2024-07-02 15:30:35.549,2,19303560,30.256904,-84.19334,8.39,317.44,AAAN,9,1.17,536,-29.6
30,10,2024-07-02 15:30:35.749,2,19303580,30.256908,-84.193343,8.22,315.71,AAAN,9,1.17,536,-29.6
31,10,2024-07-02 15:30:35.951,2,19303600,30.256911,-84.193347,7.98,316.39,AAAN,9,1.17,536,-29.6
32,10,2024-07-02 15:30:36.150,2,19303620,30.256914,-84.19335,7.63,317.75,AAAN,9,1.17,536,-29.6
33,10,2024-07-02 15:30:36.348,2,19303640,30.256917,-84.193354,7.58,318.91,AAAN,9,1.17,536,-29.6
34,10,2024-07-02 15:30:36.548,2,19303660,30.25692,-84.193357,7.53,319.96,AAAN,9,1.17,536,-29.6
35,10,2024-07-02 15:30:36.748,2,19303680,30.256924,-84.19336,7.47,321.13,AAAN,9,1.17,536,-29.6
36,10,2024-07-02 15:30:36.956,2,19303700,30.256927,-84.193363,7.42,326.33,AAAN,9,1.17,536,-29.6
37,10,2024-07-02 15:30:37.151,2,19303720,30.25693,-84.193365,7.16,327.89,AAAN,9,1.17,535,-29.6
38,10,2024-07-02 15:30:37.349,2,19303740,30.256934,-84.193367,7.14,332.42,AAAN,9,1.17,535,-29.6
39,10,2024-07-02 15:30:37.548,2,19303760,30.256937,-84.193369,7.07,336.52,AAAN,9,1.17,535,-29.6
40,10,2024-07-02 15:30:37.749,2,19303780,30.256941,-84.193371,6.79,335.58,AAAN,9,1.17,535,-29.6
41,10,2024-07-02 15:30:37.951,2,19303800,30.256944,-84.193373,6.42,339.66,AAAN,9,1.17,535,-29.6
42,10,2024-07-02 15:30:38.150,2,19303820,30.256948,-84.193374,6.20,341.80,AAAN,9,1.17,534,-29.6
43,10,2024-07-02 15:30:38.350,2,19303840,30.256951,-84.193375,5.91,345.87,DAAN,9,1.17,534,-29.6
44,10,2024-07-02 15:30:38.550,2,19303860,30.256954,-84.193376,5.29,345.94,DAAN,9,1.17,534,-29.6
45,10,2024-07-02 15:30:38.748,2,19303880,30.256958,-84.193375,5.48,353.20,DAAN,9,1.17,533,-29.6
46,10,2024-07-02 15:30:38.951,2,19303900,30.256961,-84.193375,5.21,359.57,DAAN,9,1.17,533,-29.6
47,10,2024-07-02 15:30:39.150,2,19303920,30.256964,-84.193375,5.18,2.95,DAAN,9,1.17,533,-29.6
48,10,2024-07-02 15:30:39.350,2,19303940,30.256967,-84.193374,4.97,6.08,DAAN,9,1.17,533,-29.6
49,10,2024-07-02 15:30:39.550,2,19303960,30.25697,-84.193374,4.90,9.39,DAAN,9,1.17,532,-29.6
50,10,2024-07-02 15:30:39.751,2,19303980,30.256972,-84.193373,4.63,14.64,DAAN,9,1.17,532,-29.6
51,10,2024-07-02 15:30:39.957,2,19304000,30.256975,-84.193372,4.63,17.10,DAAN,9,1.17,532,-29.6
52,10,2024-07-02 15:30:40.160,2,19304020,30.256977,-84.193371,4.42,19.79,DAAN,9,1.17,531,-29.6
53,10,2024-07-02 15:30:40.349,2,19304040,30.256979,-84.19337,4.43,26.69,DAAN,9,1.17,531,-29.6
54,10,2024-07-02 15:30:40.550,2,19304060,30.256982,-84.193368,4.38,30.07,DAAN,9,1.34,531,-29.6
55,10,2024-07-02 15:30:40.749,2,19304080,30.256984,-84.193366,4.43,34.54,DAAN,9,1.34,530,-29.6
56,10,2024-07-02 15:30:40.952,2,19304100,30.256986,-84.193364,4.61,36.91,DAAN,9,1.34,530,-29.6
57,10,2024-07-02 15:30:41.148,2,19304120,30.256989,-84.193362,4.85,41.00,DAAN,9,1.34,530,-29.6
58,10,2024-07-02 15:30:41.350,2,19304140,30.256991,-84.19336,5.50,41.70,DAAN,9,1.34,530,-29.6
59,10,2024-07-02 15:30:41.550,2,19304160,30.256993,-84.193357,5.55,46.64,DAAN,9,1.17,530,-29.6
60,10,2024-07-02 15:30:41.751,2,19304180,30.256996,-84.193354,5.82,51.75,DAAN,9,1.34,529,-29.6
61,10,2024-07-02 15:30:41.953,2,19304200,30.256998,-84.193351,6.03,55.30,DAAN,9,1.17,529,-29.6
62,10,2024-07-02 15:30:42.151,2,19304220,30.257,-84.193347,6.25,57.81,DAAN,9,1.34,529,-29.6
63,10,2024-07-02 15:30:42.349,2,19304240,30.257002,-84.193344,6.59,63.66,DAAN,9,1.34,529,-29.6
64,10,2024-07-02 15:30:42.549,2,19304260,30.257003,-84.19334,6.77,63.49,DAAN,9,1.34,529,-29.6
65,10,2024-07-02 15:30:42.750,2,19304280,30.257005,-84.193336,6.58,62.70,DAAN,9,1.34,529,-29.6
66,10,2024-07-02 15:30:42.953,2,19304300,30.257007,-84.193332,6.55,64.29,DAAN,9,1.34,529,-29.6
67,10,2024-07-02 15:30:43.160,2,19304320,30.257009,-84.193328,5.98,64.27,DAAN,9,1.34,529,-29.6
68,10,2024-07-02 15:30:43.350,2,19304340,30.257011,-84.193325,6.00,65.98,DAAN,9,1.34,530,-29.6
69,10,2024-07-02 15:30:43.550,2,19304360,30.257012,-84.193321,5.60,61.97,DAAN,9,1.34,531,-29.6
70,10,2024-07-02 15:30:43.750,2,19304380,30.257014,-84.193318,5.32,62.96,DAAN,9,1.34,532,-29.6
71,10,2024-07-02 15:30:43.959,2,19304400,30.257016,-84.193315,4.73,60.12,DAAN,9,1.34,533,-29.6
72,10,2024-07-02 15:30:44.160,2,19304420,30.257017,-84.193313,3.70,62.52,DAAN,9,1.34,532,-29.6
73,10,2024-07-02 15:30:44.349,2,19304440,30.257018,-84.193311,3.14,60.34,DAAN,9,1.17,532,-29.6
74,10,2024-07-02 15:30:44.550,2,19304460,30.257019,-84.193309,2.34,60.34,DAAN,9,1.17,533,-29.6
75,10,2024-07-02 15:30:44.750,2,19304480,30.25702,-84.193307,1.56,60.34,DAAN,9,1.17,533,-29.6
76,10,2024-07-02 15:30:44.953,2,19304500,30.257021,-84.193306,0.97,60.34,DAAN,9,1.17,533,-29.6
77,10,2024-07-02 15:30:45.151,2,19304520,30.257021,-84.193305,0.74,60.34,DAAN,9,1.17,533,-29.6
78,10,2024-07-02 15:30:45.359,2,19304540,30.257021,-84.193304,0.35,60.34,DAAN,9,1.17,532,-29.6
79,10,2024-07-02 15:30:45.559,2,19304560,30.257022,-84.193304,0.13,60.34,DAAN,9,1.17,532,-29.6
80,10,2024-07-02 15:30:45.752,2,19304580,30.257022,-84.193304,0.12,60.34,DAAN,9,1.17,532,-29.6
81,10,2024-07-02 15:30:45.959,2,19304600,30.257022,-84.193303,0.10,60.34,DAAN,9,1.17,532,-29.6
82,10,2024-07-02 15:30:46.151,2,19304620,30.257022,-84.193303,0.08,60.34,DAAN,9,1.17,533,-29.6
83,10,2024-07-02 15:30:46.358,2,19304640,30.257023,-84.193302,0.05,60.34,DAAN,9,1.17,533,-29.6
84,10,2024-07-02 15:30:46.550,2,19304660,30.257023,-84.193302,0.05,60.34,DAAN,9,1.17,533,-29.6
85,10,2024-07-02 15:30:46.751,2,19304680,30.257023,-84.193302,0.03,60.34,DAAN,9,1.17,532,-29.6
86,10,2024-07-02 15:30:46.959,2,19304700,30.257023,-84.193302,0.03,60.34,DAAN,9,1.17,532,-29.6
87,10,2024-07-02 15:30:47.159,2,19304720,30.257023,-84.193302,0.02,60.34,DAAN,9,1.17,532,-29.6
88,10,2024-07-02 15:30:47.350,2,19304740,30.257023,-84.193302,0.02,60.34,DAAN,9,1.17,533,-29.6
89,10,2024-07-02 15:30:47.548,2,19304760,30.257023,-84.193302,0.03,60.34,DAAN,9,1.17,533,-29.6
90,10,2024-07-02 15:30:47.751,2,19304780,30.257023,-84.193302,0.03,60.34,DAAN,9,1.17,532,-29.6
91,10,2024-07-02 15:30:47.952,2,19304800,30.257023,-84.193302,0.02,60.34,DAAN,9,1.17,532,-29.6
92,10,2024-07-02 15:30:48.159,2,19304820,30.257023,-84.193302,0.03,60.34,DAAN,9,1.17,533,-29.6
93,10,2024-07-02 15:30:48.352,2,19304840,30.257023,-84.193302,0.04,60.34,DAAN,9,1.17,532,-29.6
94,10,2024-07-02 15:30:48.549,2,19304860,30.257023,-84.193301,0.04,60.34,DAAN,9,1.17,532,-29.6
95,10,2024-07-02 15:30:48.750,2,19304880,30.257023,-84.193301,0.04,60.34,DAAN,9,1.17,532,-29.6
96,10,2024-07-02 15:30:48.953,2,19304900,30.257023,-84.193301,0.04,60.34,DAAN,9,1.17,532,-29.6
97,10,2024-07-02 15:30:49.151,2,19304920,30.257023,-84.193301,0.03,60.34,DAAN,9,1.17,532,-29.6
98,10,2024-07-02 15:30:49.350,2,19304940,30.257023,-84.193301,0.03,60.34,DAAN,9,1.17,532,-29.6
99,10,2024-07-02 15:30:49.550,2,19304960,30.257024,-84.193301,0.03,60.34,DAAN,9,1.17,532,-29.6
100,10,2024-07-02 15:30:49.751,2,19304980,30.257024,-84.193301,0.03,60.34,DAAN,9,1.17,532,-29.6
101,10,2024-07-02 15:30:49.952,2,19305000,30.257024,-84.193301,0.03,60.34,DAAN,9,1.17,532,-29.6
102,10,2024-07-02 15:30:50.149,2,19305020,30.257024,-84.193301,0.03,60.34,DAAN,9,1.17,532,-29.6
103,10,2024-07-02 15:30:50.351,2,19305040,30.257024,-84.193301,0.03,60.34,DAAN,9,1.17,532,-29.6
104,10,2024-07-02 15:30:50.550,2,19305060,30.257024,-84.193301,0.04,60.34,DAAN,9,1.17,532,-29.6
105,10,2024-07-02 15:30:50.762,2,19305080,30.257024,-84.193301,0.05,60.34,DAAN,9,1.17,532,-29.6
106,10,2024-07-02 15:30:50.959,2,19305100,30.257024,-84.193301,0.06,60.34,DAAN,9,1.17,532,-29.6
107,10,2024-07-02 15:30:51.159,2,19305120,30.257024,-84.193301,0.08,60.34,DAAN,9,1.17,532,-29.6
108,10,2024-07-02 15:30:51.351,2,19305140,30.257024,-84.193301,0.10,60.34,DAAN,9,1.17,532,-29.6
109,10,2024-07-02 15:30:51.550,2,19305160,30.257024,-84.1933,0.13,60.34,DAAN,9,1.17,532,-29.6
110,10,2024-07-02 15:30:51.749,2,19305180,30.257024,-84.1933,0.16,60.34,DAAN,9,1.17,532,-29.6
111,10,2024-07-02 15:30:51.959,2,19305200,30.257024,-84.1933,0.44,60.34,DAAN,9,1.17,532,-29.6
112,10,2024-07-02 15:30:52.159,2,19305220,30.257025,-84.193299,0.62,60.34,DAAN,9,1.17,532,-29.6
113,10,2024-07-02 15:30:52.349,2,19305240,30.257025,-84.193299,0.68,60.34,DAAN,9,1.17,532,-29.6
114,10,2024-07-02 15:30:52.550,2,19305260,30.257025,-84.193298,0.95,60.34,DAAN,9,1.17,532,-29.6
115,10,2024-07-02 15:30:52.750,2,19305280,30.257026,-84.193298,1.24,67.99,DAAN,9,1.17,532,-29.6
116,10,2024-07-02 15:30:52.952,2,19305300,30.257026,-84.193297,1.48,66.89,DAAN,9,1.17,532,-29.6
117,10,2024-07-02 15:30:53.152,2,19305320,30.257027,-84.193296,1.69,65.20,DAAN,9,1.17,532,-29.6
118,10,2024-07-02 15:30:53.349,2,19305340,30.257027,-84.193294,1.95,64.78,DAAN,9,1.17,532,-29.6
119,10,2024-07-02 15:30:53.548,2,19305360,30.257028,-84.193293,2.51,64.78,DAAN,9,1.17,532,-29.6
120,10,2024-07-02 15:30:53.750,2,19305380,30.257029,-84.193292,2.75,64.78,DAAN,9,1.17,531,-29.6
121,10,2024-07-02 15:30:53.960,2,19305400,30.25703,-84.19329,3.04,48.59,DAAN,9,1.17,532,-29.6
122,10,2024-07-02 15:30:54.150,2,19305420,30.257031,-84.193289,3.30,46.52,DAAN,9,1.17,531,-29.6
123,10,2024-07-02 15:30:54.349,2,19305440,30.257032,-84.193287,3.35,48.98,DAAN,9,1.17,531,-29.6
124,10,2024-07-02 15:30:54.549,2,19305460,30.257034,-84.193285,3.79,42.15,DAAN,9,1.17,532,-29.6
125,10,2024-07-02 15:30:54.748,2,19305480,30.257036,-84.193283,4.01,42.40,DAAN,9,1.17,531,-29.6
126,10,2024-07-02 15:30:54.950,2,19305500,30.257038,-84.193282,4.00,35.25,DAAN,9,1.34,532,-29.6
127,10,2024-07-02 15:30:55.149,2,19305520,30.25704,-84.19328,4.34,37.03,DAAN,9,1.34,532,-29.6
128,10,2024-07-02 15:30:55.350,2,19305540,30.257042,-84.193278,4.74,31.06,DAAN,9,1.34,531,-29.6
129,10,2024-07-02 15:30:55.550,2,19305560,30.257044,-84.193277,4.76,27.15,DAAN,9,1.34,531,-29.6
130,10,2024-07-02 15:30:55.750,2,19305580,30.257047,-84.193275,5.01,27.35,DAAN,9,1.17,531,-29.6
131,10,2024-07-02 15:30:55.952,2,19305600,30.257049,-84.193274,5.45,21.73,DAAN,9,1.34,531,-29.6
132,10,2024-07-02 15:30:56.150,2,19305620,30.257052,-84.193273,5.63,18.58,DAAN,9,1.34,531,-29.6
133,10,2024-07-02 15:30:56.349,2,19305640,30.257056,-84.193271,5.96,16.49,DAAN,9,1.34,531,-29.6
134,10,2024-07-02 15:30:56.548,2,19305660,30.257059,-84.19327,6.16,12.79,DAAN,9,1.34,531,-29.6
135,10,2024-07-02 15:30:56.748,2,19305680,30.257062,-84.19327,6.32,8.59,DAAN,9,1.34,531,-29.6
136,10,2024-07-02 15:30:56.952,2,19305700,30.257066,-84.193269,6.88,3.25,DAAN,9,1.34,531,-29.6
137,10,2024-07-02 15:30:57.150,2,19305720,30.25707,-84.193269,7.08,1.20,DAAN,9,1.34,530,-29.6
138,10,2024-07-02 15:30:57.350,2,19305740,30.257075,-84.193269,7.37,358.99,DAAN,9,1.17,530,-29.6
139,10,2024-07-02 15:30:57.550,2,19305760,30.257079,-84.193269,7.43,355.42,DAAN,9,1.17,530,-29.6
140,10,2024-07-02 15:30:57.750,2,19305780,30.257083,-84.19327,7.84,353.36,DAAN,9,1.17,530,-29.6
141,10,2024-07-02 15:30:57.950,2,19305800,30.257087,-84.193271,8.00,348.99,DAAN,9,1.17,530,-29.6
142,10,2024-07-02 15:30:58.149,2,19305820,30.257092,-84.193271,8.51,348.56,DAAN,9,1.17,529,-29.6
143,10,2024-07-02 15:30:58.350,2,19305840,30.257097,-84.193272,8.58,349.39,DAAN,9,1.17,529,-29.6
144,10,2024-07-02 15:30:58.550,2,19305860,30.257102,-84.193273,9.22,348.15,DAAN,9,1.34,529,-29.6
145,10,2024-07-02 15:30:58.750,2,19305880,30.257108,-84.193274,9.54,346.88,DAAN,9,1.17,528,-29.6
146,10,2024-07-02 15:30:58.951,2,19305900,30.257113,-84.193276,9.76,346.56,DAAN,9,1.17,528,-29.6
147,10,2024-07-02 15:30:59.152,2,19305920,30.257118,-84.193277,9.82,347.88,DAAN,9,1.17,528,-29.6
148,10,2024-07-02 15:30:59.350,2,19305940,30.257124,-84.193279,10.19,344.09,DAAN,9,1.17,527,-29.6
149,10,2024-07-02 15:30:59.549,2,19305960,30.257129,-84.19328,10.21,346.15,DAAN,9,1.17,527,-29.6
150,10,2024-07-02 15:30:59.750,2,19305980,30.257135,-84.193282,10.48,343.96,DAAN,9,1.17,527,-29.6
151,10,2024-07-02 15:30:59.953,2,19310000,30.257141,-84.193284,10.51,343.46,DAAN,9,1.17,526,-29.6
152,10,2024-07-02 15:31:00.152,2,19310020,30.257146,-84.193286,10.90,343.17,DAAN,9,1.17,526,-29.6
153,10,2024-07-02 15:31:00.349,2,19310040,30.257152,-84.193288,10.95,344.00,DAAN,9,1.17,526,-29.6
154,10,2024-07-02 15:31:00.548,2,19310060,30.257158,-84.19329,11.11,343.47,DAAN,9,1.17,525,-29.6
155,10,2024-07-02 15:31:00.749,2,19310080,30.257164,-84.193292,11.11,344.59,DAAN,9,1.17,525,-29.6
156,10,2024-07-02 15:31:00.953,2,19310100,30.257171,-84.193294,11.18,343.17,DAAN,9,1.34,525,-29.6
157,10,2024-07-02 15:31:01.151,2,19310120,30.257177,-84.193296,11.36,344.71,DAAN,9,1.34,524,-29.6
158,10,2024-07-02 15:31:01.351,2,19310140,30.257183,-84.193297,11.37,345.16,DAAN,9,1.34,524,-29.6
159,10,2024-07-02 15:31:01.553,2,19310160,30.257189,-84.193299,11.33,345.91,DAAN,9,1.34,524,-29.6
160,10,2024-07-02 15:31:01.750,2,19310180,30.257195,-84.193301,11.39,347.39,DAAN,9,1.34,523,-29.6
161,10,2024-07-02 15:31:01.953,2,19310200,30.257202,-84.193302,11.33,348.06,DAAN,9,1.34,523,-29.6
162,10,2024-07-02 15:31:02.149,2,19310220,30.257209,-84.193303,11.56,349.71,DAAN,9,1.34,523,-29.6
163,10,2024-07-02 15:31:02.351,2,19310240,30.257215,-84.193304,11.52,350.05,DAAN,9,1.34,523,-29.6
164,10,2024-07-02 15:31:02.549,2,19310260,30.257221,-84.193305,11.52,351.41,DAAN,9,1.34,522,-29.6
165,10,2024-07-02 15:31:02.749,2,19310280,30.257228,-84.193307,11.25,352.05,DAAN,9,1.17,522,-29.6
166,10,2024-07-02 15:31:02.957,2,19310300,30.257234,-84.193307,11.01,353.51,DAAN,9,1.17,522,-29.6
167,10,2024-07-02 15:31:03.151,2,19310320,30.25724,-84.193308,10.93,354.55,DAAN,9,1.17,521,-29.6
168,10,2024-07-02 15:31:03.351,2,19310340,30.257246,-84.193308,10.66,356.97,DAAN,9,1.17,521,-29.6
169,10,2024-07-02 15:31:03.550,2,19310360,30.257252,-84.193309,10.61,358.01,DAAN,9,1.34,520,-29.6
170,10,2024-07-02 15:31:03.750,2,19310380,30.257258,-84.193309,10.30,359.54,DAAN,9,1.34,520,-29.6
171,10,2024-07-02 15:31:03.952,2,19310400,30.257264,-84.193308,10.29,1.29,DAAN,9,1.33,520,-29.6
172,10,2024-07-02 15:31:04.149,2,19310420,30.25727,-84.193308,10.23,2.49,DAAN,9,1.33,520,-29.6
173,10,2024-07-02 15:31:04.350,2,19310440,30.257275,-84.193308,9.89,4.90,DAAN,9,1.33,519,-29.6
174,10,2024-07-02 15:31:04.551,2,19310460,30.257281,-84.193307,9.89,5.20,DAAN,9,1.33,518,-29.6
175,10,2024-07-02 15:31:04.748,2,19310480,30.257286,-84.193306,9.48,7.28,DAAN,9,1.33,518,-29.6
176,10,2024-07-02 15:31:04.952,2,19310500,30.257291,-84.193305,9.44,10.00,DAAN,9,1.33,517,-29.6
177,10,2024-07-02 15:31:05.152,2,19310520,30.257297,-84.193304,9.22,10.84,DAAN,9,1.33,517,-29.6
178,10,2024-07-02 15:31:05.349,2,19310540,30.257302,-84.193303,9.27,13.53,DAAN,9,1.33,517,-29.6
179,10,2024-07-02 15:31:05.549,2,19310560,30.257307,-84.193301,9.24,16.92,DAAN,9,1.33,516,-29.6
180,10,2024-07-02 15:31:05.749,2,19310580,30.257312,-84.193299,9.08,17.47,DAAN,9,1.33,515,-29.6
181,10,2024-07-02 15:31:05.952,2,19310600,30.257317,-84.193297,9.05,20.66,DAAN,9,1.33,515,-29.6
182,10,2024-07-02 15:31:06.150,2,19310620,30.257322,-84.193295,8.64,24.65,DAAN,9,1.33,514,-29.6
183,10,2024-07-02 15:31:06.349,2,19310640,30.257326,-84.193292,8.39,26.24,DAAN,9,1.33,514,-29.6
184,10,2024-07-02 15:31:06.549,2,19310660,30.25733,-84.19329,8.02,28.24,DAAN,9,1.33,514,-29.6
185,10,2024-07-02 15:31:06.748,2,19310680,30.257334,-84.193287,7.19,31.18,DAAN,9,1.33,514,-29.6
186,10,2024-07-02 15:31:06.949,2,19310700,30.257337,-84.193285,6.39,31.97,DAAN,9,1.33,513,-29.6
187,10,2024-07-02 15:31:07.160,2,19310720,30.25734,-84.193282,5.76,34.77,DAAN,10,1.23,512,-29.6
188,10,2024-07-02 15:31:07.351,2,19310740,30.257343,-84.19328,5.04,37.60,DAAN,10,1.23,513,-29.6
189,10,2024-07-02 15:31:07.550,2,19310760,30.257345,-84.193278,4.52,35.39,DAAN,10,1.23,513,-29.6
190,10,2024-07-02 15:31:07.752,2,19310780,30.257347,-84.193277,4.28,34.51,DAAN,10,1.23,512,-29.6
191,10,2024-07-02 15:31:07.957,2,19310800,30.257349,-84.193275,4.23,43.61,DAAN,10,1.23,512,-29.6
192,10,2024-07-02 15:31:08.157,2,19310820,30.257351,-84.193273,4.16,47.74,DAAN,10,1.23,511,-29.6
193,10,2024-07-02 15:31:08.357,2,19310840,30.257352,-84.193271,3.87,46.27,DAAN,10,1.23,511,-29.6
194,10,2024-07-02 15:31:08.548,2,19310860,30.257354,-84.193269,3.87,47.02,DNAN,9,1.14,511,-29.6
195,10,2024-07-02 15:31:08.750,2,19310880,30.257356,-84.193267,3.84,54.52,DAAN,10,1.06,510,-29.6
196,10,2024-07-02 15:31:08.951,2,19310900,30.257357,-84.193265,4.05,54.90,DNAN,9,1.14,510,-29.6
197,10,2024-07-02 15:31:09.157,2,19310920,30.257359,-84.193263,4.29,55.15,DAAN,10,1.23,510,-29.6
198,10,2024-07-02 15:31:09.350,2,19310940,30.25736,-84.19326,4.63,56.37,DAAN,10,1.23,509,-29.6
199,10,2024-07-02 15:31:09.551,2,19310960,30.257362,-84.193257,5.21,57.57,DAAN,10,1.23,509,-29.6
200,10,2024-07-02 15:31:09.750,2,19310980,30.257363,-84.193254,5.40,61.78,DAAN,10,1.23,509,-29.6
201,10,2024-07-02 15:31:09.953,2,19311000,30.257365,-84.19325,5.80,62.68,DAAN,10,1.23,509,-29.6
202,10,2024-07-02 15:31:10.150,2,19311020,30.257366,-84.193247,6.02,65.62,DAAN,10,1.23,508,-29.6
203,10,2024-07-02 15:31:10.351,2,19311040,30.257367,-84.193243,6.34,68.47,DAAN,10,1.23,508,-29.6
204,10,2024-07-02 15:31:10.550,2,19311060,30.257368,-84.193238,6.71,70.26,DAAN,10,1.23,508,-29.6
205,10,2024-07-02 15:31:10.750,2,19311080,30.257368,-84.193233,7.01,75.06,DAAN,10,1.23,507,-29.6
206,10,2024-07-02 15:31:10.957,2,19311100,30.257369,-84.193228,7.39,75.63,DAAN,10,1.23,506,-29.6
207,10,2024-07-02 15:31:11.150,2,19311120,30.257369,-84.193222,7.94,79.05,DAAN,10,1.23,506,-29.6
208,10,2024-07-02 15:31:11.357,2,19311140,30.257369,-84.193216,8.39,82.68,DAAN,10,1.23,505,-29.6
209,10,2024-07-02 15:31:11.550,2,19311160,30.25737,-84.19321,9.01,82.50,DAAN,10,1.23,506,-29.6
210,10,2024-07-02 15:31:11.750,2,19311180,30.257369,-84.193203,9.42,83.65,DAAN,10,1.23,504,-29.6
211,10,2024-07-02 15:31:11.953,2,19311200,30.257369,-84.193196,10.17,86.81,DAAN,10,1.23,505,-29.6
212,10,2024-07-02 15:31:12.159,2,19311220,30.257369,-84.193188,10.71,87.51,DAAN,10,1.23,505,-29.6
213,10,2024-07-02 15:31:12.351,2,19311240,30.257369,-84.19318,11.36,87.84,DAAN,10,1.23,504,-29.6
214,10,2024-07-02 15:31:12.550,2,19311260,30.257368,-84.193172,11.84,88.75,DAAN,10,1.06,504,-29.6
215,10,2024-07-02 15:31:12.750,2,19311280,30.257368,-84.193163,12.50,90.62,DNAN,9,1.33,504,-29.6
216,10,2024-07-02 15:31:12.952,2,19311300,30.257367,-84.193154,13.06,91.32,DAAN,10,1.23,503,-29.6
217,10,2024-07-02 15:31:13.149,2,19311320,30.257366,-84.193144,13.75,92.37,DAAN,10,1.23,503,-29.6
218,10,2024-07-02 15:31:13.351,2,19311340,30.257365,-84.193134,14.09,92.69,DAAN,10,1.23,502,-29.6
219,10,2024-07-02 15:31:13.549,2,19311360,30.257364,-84.193124,14.50,93.48,DAAN,10,1.06,501,-29.6
220,10,2024-07-02 15:31:13.750,2,19311380,30.257363,-84.193115,14.85,93.14,DAAN,10,1.06,501,-29.6
221,10,2024-07-02 15:31:13.953,2,19311400,30.257362,-84.193104,15.03,93.47,DAAN,10,1.06,500,-29.6
222,10,2024-07-02 15:31:14.150,2,19311420,30.257361,-84.193094,15.57,93.55,DAAN,10,1.06,500,-29.6
223,10,2024-07-02 15:31:14.351,2,19311440,30.25736,-84.193083,15.63,94.23,DAAN,10,1.06,499,-29.6
